Year,Average House Price,Average Wage Index,Average 30-year FMR
1972,30075,7105.64,7.38
1973,35100,7580.16,8.04
1974,38725,8030.76,9.19
1975,42525,8630.92,9.05
1976,48050,9226.48,8.87
1977,54350,9779.44,8.85
1978,62700,10556.03,9.64
1979,71900,11479.46,11.2
1980,76375,12513.46,13.74
1981,83175,13773.1,16.63
1982,83850,14531.34,16.04
1983,89775,15239.24,13.24
1984,97550,16135.07,13.88
1985,100825,16822.51,12.43
1986,112075,17321.82,10.19
1987,127575,18426.51,10.21
1988,138650,19334.04,10.34
1989,148125,20099.55,10.32
1990,149075,21027.98,10.13
1991,147275,21811.6,9.25
1992,144675,22935.42,8.39
1993,147475,23132.67,7.31
1994,154175,23753.53,8.38
1995,157750,24705.66,7.93
1996,165525,25913.9,7.81
1997,174875,27426,7.6
1998,181150,28861.44,6.94
1999,205375,30469.84,7.44
2000,205375,32154.82,8.05
2001,211050,32921.92,6.97
2002,226700,33252.09,6.54
2003,244550,34064.95,5.83
2004,272125,35648.55,5.84
2005,291275,36952.94,5.87
2006,303900,38651.41,6.41
2007,309800,40405.48,6.34
2008,289075,41334.97,6.03
2009,269350,40711.61,5.4
2010,272075,41673.83,4.69
2011,264600,42979.61,4.45
2012,288225,44321.67,3.66
2013,321650,44888.16,3.98
2014,345450,46481.52,4.17
2015,350450,48098.63,3.85
2016,359650,48642.15,3.65
2017,381150,50321.89,3.99
2018,382475,52145.8,4.54
2019,379875,54099.99,3.94
2020,389800,55628.6,3.11
2021,457375,60575.07,2.96
